# Fri Mar 15 12:41:08 UTC 2019
timestamp, serial, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB]
2019/03/15 12:41:12.012, 0325017204792, 33, 0, 0, 0, 16130
2019/03/15 12:41:12.012, 0324617082482, 36, 0, 0, 0, 16130
2019/03/15 12:41:12.013, 0321018122464, 38, 0, 0, 0, 16130
2019/03/15 12:41:12.213, 0324617082433, 34, 0, 0, 80, 16050
2019/03/15 12:41:12.214, 0320118012431, 35, 0, 0, 0, 16130
2019/03/15 12:41:12.215, 0321518152652, 34, 0, 0, 0, 16130
2019/03/15 12:41:12.215, 0321018121928, 37, 0, 0, 0, 16130
2019/03/15 12:41:12.216, 0320318007901, 34, 0, 0, 0, 16130
2019/03/15 12:41:12.217, 0325017204792, 33, 0, 0, 0, 16130
2019/03/15 12:41:12.217, 0324617082482, 36, 0, 0, 0, 16130
2019/03/15 12:41:12.218, 0321018122464, 38, 0, 0, 0, 16130
2019/03/15 12:41:12.419, 0324617082433, 34, 0, 0, 80, 16050
2019/03/15 12:41:12.419, 0320118012431, 35, 0, 0, 0, 16130
2019/03/15 12:41:12.420, 0321518152652, 34, 0, 0, 0, 16130
2019/03/15 12:41:12.420, 0321018121928, 37, 0, 0, 0, 16130
2019/03/15 12:41:12.421, 0320318007901, 34, 0, 0, 0, 16130
2019/03/15 12:41:12.421, 0325017204792, 33, 0, 0, 0, 16130
2019/03/15 12:41:12.422, 0324617082482, 36, 0, 0, 0, 16130
2019/03/15 12:41:12.422, 0321018122464, 38, 0, 0, 0, 16130
2019/03/15 12:41:12.623, 0324617082433, 34, 0, 0, 80, 16050
2019/03/15 12:41:12.624, 0320118012431, 35, 0, 0, 0, 16130
2019/03/15 12:41:12.624, 0321518152652, 34, 0, 0, 0, 16130
2019/03/15 12:41:12.625, 0321018121928, 37, 0, 0, 0, 16130
2019/03/15 12:41:12.625, 0320318007901, 34, 0, 0, 0, 16130
2019/03/15 12:41:12.626, 0325017204792, 33, 0, 0, 0, 16130
2019/03/15 12:41:12.626, 0324617082482, 36, 0, 0, 0, 16130
2019/03/15 12:41:12.627, 0321018122464, 38, 0, 0, 0, 16130
2019/03/15 12:41:12.827, 0324617082433, 34, 0, 0, 80, 16050
2019/03/15 12:41:12.828, 0320118012431, 35, 0, 0, 0, 16130
2019/03/15 12:41:12.828, 0321518152652, 34, 0, 0, 0, 16130
2019/03/15 12:41:12.829, 0321018121928, 37, 0, 0, 0, 16130
2019/03/15 12:41:12.830, 0320318007901, 34, 0, 0, 0, 16130
2019/03/15 12:41:12.830, 0325017204792, 33, 0, 0, 0, 16130
2019/03/15 12:41:12.831, 0324617082482, 36, 0, 0, 0, 16130
2019/03/15 12:41:12.831, 0321018122464, 38, 0, 0, 0, 16130
